scenario,method,seed,success,planning_time,first_solution_iteration,node_count,path_length
hybrid_single_blocker,Hybrid,19,1,1.2836971282958984,90,142,117.64823353829485
hybrid_single_blocker,RRT*,20,1,3.8574652671813965,369,441,180.15748998426878
hybrid_single_blocker,GoalBias,20,1,2.288912773132324,214,276,156.47664064320588
hybrid_single_blocker,Hybrid,20,1,0.4354701042175293,43,87,128.45083036647284
hybrid_single_blocker,RRT*,21,1,4.418571949005127,364,445,149.80996568114045
hybrid_single_blocker,GoalBias,21,1,1.6945288181304932,138,222,166.06250657755254
hybrid_single_blocker,Hybrid,21,1,0.417834997177124,35,81,117.35379065636151
hybrid_single_blocker,RRT*,22,1,5.3773109912872314,507,514,181.12295799248517
hybrid_single_blocker,GoalBias,22,1,2.030634880065918,229,250,148.54260382668576
hybrid_single_blocker,Hybrid,22,1,0.6440441608428955,105,97,127.47409319658854
hybrid_single_blocker,RRT*,23,1,1.315521001815796,107,197,118.85737604649427
hybrid_single_blocker,GoalBias,23,1,1.6802260875701904,138,215,149.31218918812496
hybrid_single_blocker,Hybrid,23,1,0.5543298721313477,31,82,135.70356733604007
hybrid_single_blocker,RRT*,24,1,6.0279998779296875,503,588,181.3560761399102
hybrid_single_blocker,GoalBias,24,1,1.4172370433807373,186,180,162.34410946470402
hybrid_single_blocker,Hybrid,24,1,0.6044669151306152,45,95,147.13949322416434
hybrid_single_blocker,RRT*,25,1,2.6271209716796875,242,320,120.41659512822096
hybrid_single_blocker,GoalBias,25,1,1.173947811126709,59,124,128.54398628574572
hybrid_single_blocker,Hybrid,25,1,0.5440139770507812,35,84,132.84229308357595
hybrid_single_blocker,RRT*,26,1,3.424791097640991,357,387,143.140851399004
hybrid_single_blocker,GoalBias,26,1,0.869297981262207,66,139,148.936413396623
hybrid_single_blocker,Hybrid,26,1,0.9744560718536377,208,127,140.73236832859743
hybrid_single_blocker,RRT*,27,1,1.942176103591919,161,246,141.41712842721867
hybrid_single_blocker,GoalBias,27,1,0.9548070430755615,57,149,130.5728955176208
hybrid_single_blocker,Hybrid,27,1,0.8783931732177734,69,114,136.83992138470603
hybrid_single_blocker,RRT*,28,1,4.290385007858276,413,500,128.33203926461732
hybrid_single_blocker,GoalBias,28,1,0.8174829483032227,61,135,106.94255865666926
hybrid_single_blocker,Hybrid,28,1,1.0167360305786133,139,150,147.85714238063207
hybrid_single_blocker,RRT*,29,1,3.3546462059020996,309,398,175.73731701197437
hybrid_single_blocker,GoalBias,29,1,1.1075592041015625,66,148,125.48258464071574
hybrid_single_blocker,Hybrid,29,1,0.4867231845855713,61,87,154.54137329292362
hybrid_staggered_trees,RRT*,0,1,3.7317519187927246,296,375,114.9535411964737
hybrid_staggered_trees,GoalBias,0,1,3.998641014099121,307,341,145.6005369338013
hybrid_staggered_trees,Hybrid,0,1,0.8602080345153809,62,104,171.23955594576722
hybrid_staggered_trees,RRT*,1,1,3.0204648971557617,243,301,173.69376739226817
hybrid_staggered_trees,GoalBias,1,1,1.2021050453186035,91,142,158.81430770599854
hybrid_staggered_trees,Hybrid,1,1,1.0037739276885986,81,110,128.84798471466917
hybrid_staggered_trees,RRT*,2,1,4.7664289474487305,448,428,136.2959068340964
hybrid_staggered_trees,GoalBias,2,1,2.51921010017395,219,265,115.53256092977696
hybrid_staggered_trees,Hybrid,2,1,0.7141990661621094,51,97,125.64342792693313
hybrid_staggered_trees,RRT*,3,1,5.058375120162964,378,466,159.55180426992393
hybrid_staggered_trees,GoalBias,3,1,1.031702995300293,53,132,136.64172405627411
hybrid_staggered_trees,Hybrid,3,1,0.6611008644104004,45,94,132.79768890213444
hybrid_staggered_trees,RRT*,4,1,2.22977876663208,150,229,165.34678134315115
hybrid_staggered_trees,GoalBias,4,1,1.0290579795837402,69,139,150.5416300661606
hybrid_staggered_trees,Hybrid,4,1,1.2341411113739014,108,139,152.06084505218035
hybrid_staggered_trees,RRT*,5,1,2.3564600944519043,209,270,168.8987243409235
hybrid_staggered_trees,GoalBias,5,1,1.3332042694091797,85,155,134.89191278599827
hybrid_staggered_trees,Hybrid,5,1,0.9224600791931152,73,116,121.6166130666602
hybrid_staggered_trees,RRT*,6,1,6.568347930908203,478,534,126.02989136207961
hybrid_staggered_trees,GoalBias,6,1,1.8694870471954346,191,184,147.2745846894387
