场景,地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
density_medium,map_0001_seed_7898237777006799159,8,GoalBias+Tangent,50,100.0,45.65,6.25,0.420,0.077,218,48
density_medium,map_0001_seed_7898237777006799159,9,Baseline,50,100.0,45.64,6.03,0.504,0.092,251,79
density_medium,map_0001_seed_7898237777006799159,9,GoalBias,50,100.0,44.53,5.11,0.515,0.177,228,56
density_medium,map_0001_seed_7898237777006799159,9,GoalBias+Tangent,50,100.0,49.13,6.00,0.392,0.052,217,56
density_medium,map_0002_seed_6373849475244374403,0,Baseline,50,100.0,41.50,5.50,0.468,0.065,248,64
density_medium,map_0002_seed_6373849475244374403,0,GoalBias,50,100.0,36.28,4.46,0.491,0.213,217,29
density_medium,map_0002_seed_6373849475244374403,0,GoalBias+Tangent,50,100.0,41.22,5.08,0.377,0.045,215,29
density_medium,map_0002_seed_6373849475244374403,1,Baseline,50,100.0,38.91,9.05,0.530,0.134,269,93
density_medium,map_0002_seed_6373849475244374403,1,GoalBias,50,100.0,37.79,5.90,0.473,0.186,224,42
density_medium,map_0002_seed_6373849475244374403,1,GoalBias+Tangent,50,100.0,40.57,5.51,0.369,0.088,213,47
