safety_margin,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0.15,1,0,RRT*,1,11.0050528049469,296,273,187.95098161865621
0.15,1,1,GoalBias,1,3.9585459232330322,121,113,125.40643066984535
0.15,1,1,RRT*,1,7.456573009490967,176,217,124.80352831126676
0.15,1,1,Hybrid,1,3.607334852218628,90,116,120.73322416415769
0.15,0,9,RRT*,1,22.53477907180786,576,559,185.94512979214875
0.15,1,0,GoalBias,1,18.259750843048096,419,381,147.60176524142042
0.15,1,2,GoalBias,1,4.251459836959839,110,126,145.30612315737767
0.15,1,2,Hybrid,1,3.9021170139312744,91,121,147.92573356115034
0.15,1,3,Hybrid,1,2.743934154510498,47,79,114.25381231728579
0.15,1,2,RRT*,1,14.898378133773804,401,330,146.296523242408
0.15,1,3,RRT*,1,13.493247032165527,378,341,159.6680682146642
0.15,1,4,Hybrid,1,3.6189591884613037,53,99,115.51462999397478
0.15,1,4,GoalBias,1,4.49022102355957,124,147,157.13707182022947
0.15,1,5,GoalBias,1,7.1975297927856445,202,162,158.22863792663932
0.15,1,4,RRT*,1,19.159385919570923,404,383,144.57527405602283
0.15,1,5,RRT*,1,8.327851057052612,168,209,166.45454428435835
0.15,1,6,GoalBias,1,3.885234832763672,56,108,136.19543255492553
0.15,1,6,RRT*,1,6.2255699634552,128,164,129.01594011113852
0.15,1,6,Hybrid,1,2.638047933578491,46,89,119.64489983680807
0.15,1,5,Hybrid,1,10.107866287231445,514,198,150.19989821403223
0.15,1,7,GoalBias,1,3.398437976837158,47,107,145.04200530999884
0.15,1,7,RRT*,1,6.446972846984863,185,190,156.7134737344203
0.15,1,3,GoalBias,1,34.972387075424194,932,625,198.42526260433627
0.15,1,8,Hybrid,1,2.8288183212280273,117,95,149.50082891044
0.15,1,7,Hybrid,1,6.74030613899231,469,151,154.97450849425041
0.15,1,8,RRT*,1,7.383504867553711,214,216,139.71832098725898
0.15,1,9,GoalBias,1,3.480391263961792,64,114,156.04401885485703
0.15,1,8,GoalBias,1,11.417322874069214,285,247,114.45030546454083
0.15,1,9,Hybrid,1,9.679095983505249,378,221,152.9532036662254
0.15,2,0,RRT*,1,10.485244035720825,229,212,130.99278778195318
0.15,1,9,RRT*,1,20.13287901878357,460,442,135.16427455016128
0.15,2,0,GoalBias,1,14.010202169418335,636,289,128.70208088375438
0.15,2,1,GoalBias,1,4.855670213699341,130,163,128.97161336169694
0.15,2,1,RRT*,1,17.53444790840149,479,472,213.25094202234942
0.15,2,2,GoalBias,1,6.311858177185059,146,203,142.292326898928
0.15,2,2,RRT*,1,26.328670978546143,636,608,138.82940270249742
0.15,2,2,Hybrid,1,12.873133182525635,116,219,120.86550386194378
0.15,2,0,Hybrid,1,44.04003286361694,356,350,165.82529064121434
0.15,2,3,RRT*,1,17.182440042495728,423,422,141.83701819286958
0.15,2,4,RRT*,1,4.977434158325195,97,178,160.95437049342843
0.15,2,3,GoalBias,1,23.385982990264893,768,515,178.01679309351087
0.15,2,1,Hybrid,1,62.457417011260986,328,392,136.4664179944553
0.15,2,4,GoalBias,1,25.055071115493774,877,600,158.1580485543976
0.15,2,5,RRT*,1,13.781151056289673,374,418,122.71136663541502
0.15,2,3,Hybrid,1,46.91416001319885,259,305,139.63196857098995
0.15,2,5,GoalBias,1,5.4840710163116455,136,165,141.9057961539984
0.15,2,6,RRT*,1,8.875521659851074,222,232,190.0150995591442
0.15,2,6,GoalBias,1,8.55260705947876,318,237,131.2410561484371
0.15,2,7,RRT*,1,4.5373640060424805,78,150,119.20926840591224
0.15,2,7,GoalBias,1,7.078696966171265,176,186,120.78468585647362
0.15,2,7,Hybrid,1,14.525032043457031,118,199,121.72295366607057
0.15,2,8,RRT*,1,10.703770875930786,241,301,156.5498412669177
0.15,2,8,GoalBias,1,3.691495895385742,77,130,117.3618769942527
0.15,2,8,Hybrid,1,32.160605907440186,438,462,115.29896242696
0.15,2,6,Hybrid,1,81.93976998329163,330,390,132.0866294962558
0.15,2,9,RRT*,1,12.895648002624512,435,343,187.22360305223472
0.15,2,4,Hybrid,1,130.76894307136536,558,549,156.65794153326829
0.15,2,9,GoalBias,1,12.481064081192017,552,314,128.53500876341465
0.15,2,9,Hybrid,1,17.496046781539917,135,217,139.33611923246102
0.15,2,5,Hybrid,1,117.7596652507782,854,726,218.9041995387394
0.15,3,0,Hybrid,1,2.5571908950805664,46,79,148.42440250409322
0.15,3,0,GoalBias,1,15.19053602218628,554,408,153.3182237038862
0.15,3,1,Hybrid,1,2.224071979522705,65,87,142.3891434730353
0.15,3,1,RRT*,1,10.376013278961182,314,287,119.75328597866658
0.15,3,1,GoalBias,1,9.754419088363647,332,245,138.88770699196095
0.15,3,2,Hybrid,1,2.3447842597961426,111,83,146.63692617252093
0.15,3,2,GoalBias,1,6.0960118770599365,152,177,104.31417917213547
