gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
3.5,2,7,GoalBias,1,30.10723304748535,1326,719,222.2408734953776
3.5,2,8,GoalBias,1,17.019702672958374,849,493,237.11266449799047
3.5,2,8,Hybrid,1,4.2314980030059814,190,170,149.90194255707115
3.5,2,8,RRT*,1,28.13936495780945,1058,715,136.15789244066656
3.5,2,9,RRT*,1,8.499199867248535,415,367,236.90673984492645
3.5,2,9,GoalBias,1,9.113077163696289,538,317,115.1195274232351
3.5,3,0,RRT*,1,6.747269153594971,349,299,129.46775508415865
3.5,3,0,GoalBias,1,2.4122512340545654,73,136,117.77745492075731
3.5,2,6,Hybrid,1,87.15137887001038,640,537,153.77435785195038
3.5,2,9,Hybrid,1,12.615476369857788,239,264,151.53605472552178
3.5,3,1,GoalBias,1,2.927940845489502,70,151,109.66155683790831
3.5,3,0,Hybrid,1,5.9043288230896,275,215,205.24858530731814
3.5,3,1,RRT*,1,10.843920707702637,588,435,205.4480176888857
3.5,3,2,RRT*,1,7.66023588180542,322,339,150.29727120704197
3.5,3,2,GoalBias,1,2.888397693634033,75,159,113.15442343524875
3.5,3,2,Hybrid,1,3.6318719387054443,143,165,145.84943032156903
3.5,3,3,RRT*,1,15.40756607055664,642,500,231.36467407999822
3.5,3,3,Hybrid,1,7.924537897109985,354,241,217.51753966824856
3.5,3,4,RRT*,1,7.593821048736572,364,336,148.184445211143
3.5,3,3,GoalBias,1,33.70366811752319,1204,719,219.5385642436227
3.5,3,4,GoalBias,1,7.434652090072632,387,283,221.1678087907022
3.5,3,4,Hybrid,1,3.377401113510132,170,165,124.84918837337074
3.5,3,5,RRT*,1,4.375020980834961,168,251,125.04009238112717
3.5,3,5,GoalBias,1,6.196053981781006,340,266,169.845175548223
3.5,3,6,RRT*,1,14.293616771697998,625,491,184.77988082558758
3.5,3,6,GoalBias,1,5.700713396072388,302,250,136.64820834279666
3.5,3,5,Hybrid,1,23.82504177093506,687,514,164.84787428782752
3.5,3,6,Hybrid,1,14.854499816894531,326,289,161.1392461344939
