success,path_length,travel_time,planning_ms,mean_curvature,max_curvature,smoothness,min_static_clearance,min_dynamic_clearance,scene,split,difficulty,method,footprint_collisions
0,44.415000000000006,180.0,0.9518329970887862,0.3925182950583946,0.40558721647824947,0.00022545148220024986,0.010292587078067668,0.7455528903611519,7,validation,moderate,A*+UA,1032
0,44.415000000000006,180.0,2.37133400150924,0.3925182950583946,0.40558721647824947,0.00022545148220024986,0.010292587078067668,0.7455528903611519,7,validation,moderate,RCRA*+UA (Ours),1032
0,1.0799999999999985,2.1,241.4379159999953,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,5.181552305865629,8,validation,hard,A*+DWA,0
0,0.2699999999999993,0.30000000000000004,401.38775000013993,7.824388086247376e-16,1.2432035494856046e-15,6.216017747428023e-16,1.5811751664430078,5.534877587391621,8,validation,hard,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.758166999934474,0.0,0.0,0.0,1.5999999999999996,0.522015325445522,8,validation,hard,Greedy+APF,0
0,1.0799999999999985,2.1,247.79800000032992,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,5.181552305865629,8,validation,hard,RCRA*+DWA,0
1,15.471331631699838,28.0,0.5065830009698402,0.2005728047162014,0.40558721647824947,0.010962566729318848,1.1747338721283944,0.9813112935526966,8,validation,hard,A*+UA,0
1,15.471331631699838,28.0,2.0864159996563103,0.2005728047162014,0.40558721647824947,0.010962566729318848,1.1747338721283944,0.9813112935526966,8,validation,hard,RCRA*+UA (Ours),0
0,1.5974999999999935,3.5,244.52512500283774,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,9.048999094233256,9,validation,simple,A*+DWA,0
0,7.593834310279006,25.1,306.9268750004994,0.2972662903489899,0.40558721647824947,0.013987843270396929,1.1685191805648212,6.416720771009378,9,validation,simple,Hybrid A*+TEB,0
0,7.10999999999999,7.9,13.3682920022693,0.0,0.0,0.0,1.5999999999999996,9.458223934756463,9,validation,simple,Greedy+APF,0
0,1.5974999999999935,3.5,243.9393749991723,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,9.048999094233256,9,validation,simple,RCRA*+DWA,0
1,15.54630666249458,24.400000000000002,0.45545800094259903,0.14736623876867616,0.40558721647824947,0.008714189799846494,0.9011176950120114,8.496810631348064,9,validation,simple,A*+UA,0
1,15.502244644689315,29.1,2.1491250008693896,0.2039814876506125,0.40558721647824947,0.011704360360512018,0.9011176950120114,9.458223934756463,9,validation,simple,RCRA*+UA (Ours),0
0,1.5974999999999935,3.5,242.7536670002155,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,8.791396095891223,10,validation,moderate,A*+DWA,0
0,6.019145932175365,14.8,318.2137080002576,0.21633235729387357,0.27336157330256305,0.004755859568822266,1.109958952033097,4.5752529207560295,10,validation,moderate,Hybrid A*+TEB,0
0,14.489999999999986,19.1,10.749832999863429,0.08493973119963338,0.40558721647824947,0.0021346695604118394,0.7461330735213815,4.815859217211396,10,validation,moderate,Greedy+APF,17
0,1.5974999999999935,3.5,239.69241700251587,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,8.791396095891223,10,validation,moderate,RCRA*+DWA,0
0,50.69250000000001,180.0,0.5644999982905574,0.3715629555403517,0.40558721647824947,0.0006763544466007495,0.005928997454093675,4.815859217211396,10,validation,moderate,A*+UA,1178
0,50.69250000000001,180.0,2.585207999800332,0.3715629555403517,0.40558721647824947,0.0006763544466007495,0.005928997454093675,4.815859217211396,10,validation,moderate,RCRA*+UA (Ours),1178
0,1.5974999999999935,3.5,238.97729099917342,0.266528742257136,0.40558721647824947,0.01192903577877229,1.111773132870984,12.35689710332932,11,validation,hard,A*+DWA,0
0,6.019145932175365,14.8,301.3438750022033,0.21633235729387357,0.27336157330256305,0.004755859568822266,1.109958952033097,7.727066158300938,11,validation,hard,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.7530830009491183,0.0,0.0,0.0,1.5999999999999996,0.17888543819997382,11,validation,hard,Greedy+APF,0
0,1.5974999999999935,3.5,239.39604100087308,0.266528742257136,0.40558721647824947,0.01192903577877229,1.111773132870984,12.35689710332932,11,validation,hard,RCRA*+DWA,0
1,16.087347540916486,30.400000000000002,0.4821250004169997,0.21507672668066194,0.40558721647824947,0.009418329427209623,1.1541157201759975,1.3716760512382262,11,validation,hard,A*+UA,0
1,16.087347540916486,30.400000000000002,1.9757910013140645,0.21507672668066194,0.40558721647824947,0.009418329427209623,1.1541157201759975,1.3716760512382262,11,validation,hard,RCRA*+UA (Ours),0
0,1.5974999999999935,3.5,238.82741700072074,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,13.141778717467474,12,validation,simple,A*+DWA,0
0,43.23595537728454,180.0,276.2560420014779,0.3894308481292637,0.40558721647824947,0.0007702604662088892,0.029478372968083245,0.9474481697690845,12,validation,simple,Hybrid A*+TEB,834
0,14.57999999999998,16.2,1.831916997616645,0.0,0.0,0.0,1.5999999999999996,5.032891812864643,12,validation,simple,Greedy+APF,0
0,1.5974999999999935,3.5,254.41308299923548,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,13.141778717467474,12,validation,simple,RCRA*+DWA,0
