overlap,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0,3,8,RRT*,1,4.691239356994629,123,141,172.83038970691948
0,3,8,GoalBias,1,3.2204129695892334,70,122,115.36295378451261
0,2,9,Hybrid,1,65.46481895446777,659,536,162.44997422819506
0,3,8,Hybrid,1,4.200860977172852,124,126,161.38199146362
0,3,9,GoalBias,1,2.638068914413452,55,113,146.3004708753178
0,3,9,Hybrid,1,1.4933600425720215,28,65,151.42141963161808
0,4,0,GoalBias,1,3.896764039993286,132,137,165.99765418801542
0,4,0,RRT*,1,10.250518083572388,296,295,177.91979639282204
0,3,7,RRT*,1,27.479770183563232,720,682,155.7285079845899
0,4,0,Hybrid,1,9.204941034317017,210,212,159.64229231816904
0,3,9,RRT*,1,18.20028018951416,538,488,125.05888770297938
0,4,1,GoalBias,1,5.967241048812866,312,196,213.6683606391784
0,4,1,RRT*,1,9.192119121551514,314,313,183.41051638107308
0,4,1,Hybrid,1,6.158203840255737,167,176,148.79737325238955
0,4,2,GoalBias,1,4.707860946655273,196,163,146.3872038898315
0,4,2,RRT*,1,8.373027086257935,276,282,160.12338479996126
0,4,3,GoalBias,1,5.154937982559204,188,158,155.18588506321183
0,4,3,Hybrid,1,7.549792051315308,163,179,155.6010589729111
0,4,3,RRT*,1,12.633321285247803,407,381,133.77363535803156
0,4,4,Hybrid,1,3.370461940765381,65,101,151.8194798883356
0,4,4,RRT*,1,12.365694046020508,364,309,154.25436121664262
0,4,5,RRT*,1,6.799260139465332,209,217,140.84377300183377
0,4,5,GoalBias,1,12.60090970993042,563,365,175.52846652706427
0,4,4,GoalBias,1,23.003240823745728,634,518,162.48000956152308
0,4,2,Hybrid,1,35.96395683288574,320,325,152.0717890863151
0,4,6,Hybrid,1,3.053382158279419,83,102,145.23879271511382
0,4,6,GoalBias,1,4.609405994415283,204,149,152.79819409779918
0,4,6,RRT*,1,6.632436990737915,200,211,112.78420559517643
0,4,7,Hybrid,1,2.571331024169922,120,107,141.61622916776503
0,4,5,Hybrid,1,22.313747882843018,586,349,176.58740280488004
0,4,7,GoalBias,1,6.676008939743042,171,193,162.6540362101842
0,4,8,RRT*,1,6.923336982727051,174,206,155.66424226039715
0,4,8,Hybrid,1,4.467442989349365,208,136,116.1833170132045
0,4,7,RRT*,1,13.311520099639893,494,406,152.22035257109715
0,4,9,RRT*,1,5.854761123657227,155,193,127.8976215544898
0,4,9,Hybrid,1,5.459407091140747,126,158,173.88607957209354
0,4,9,GoalBias,1,9.354007005691528,392,257,127.94426521127716
0,4,8,GoalBias,1,15.195559978485107,529,400,166.02985281569218
20,0,0,Hybrid,1,5.796841859817505,109,148,109.74183950353081
20,0,1,GoalBias,1,3.144280195236206,53,117,113.43600234875179
20,0,0,RRT*,1,14.287848949432373,487,401,155.24009080017484
20,0,0,GoalBias,1,17.525591135025024,478,439,136.30675229469463
20,0,1,Hybrid,1,10.762574195861816,193,200,162.43467623649704
20,0,2,RRT*,1,11.459677934646606,299,348,159.99000644364426
20,0,3,RRT*,1,12.737733840942383,311,365,143.97523118968243
20,0,2,Hybrid,1,15.369328260421753,272,330,131.06833743929818
20,0,2,GoalBias,1,22.107258081436157,647,579,117.95654563572408
20,0,3,GoalBias,1,6.470958709716797,235,232,137.48171441984024
20,0,1,RRT*,1,52.19672679901123,1210,1061,167.49678065079814
20,0,4,Hybrid,1,5.60142707824707,56,148,117.2576925222547
20,0,5,RRT*,1,6.290755748748779,177,222,129.32113899963116
20,0,5,GoalBias,1,8.56826114654541,254,271,141.70304170917666
20,0,4,RRT*,1,41.2445170879364,965,854,178.5365199343654
20,0,6,RRT*,1,13.866469860076904,425,364,173.64641270703956
20,0,5,Hybrid,1,34.232388973236084,359,410,175.35696608608316
20,0,4,GoalBias,1,68.05621194839478,1322,1094,143.636140839922
20,0,3,Hybrid,1,76.6318130493164,1188,894,156.80890819181698
20,0,7,RRT*,1,6.590575695037842,229,242,148.62796738421673
20,0,7,GoalBias,1,3.9086883068084717,66,132,119.90080778285413
20,0,6,GoalBias,1,25.1405770778656,770,651,121.91652143941442
20,0,7,Hybrid,1,3.796588182449341,48,114,110.80361776336461
20,0,8,RRT*,1,8.761849880218506,252,317,161.86004952610915
20,0,8,Hybrid,1,7.001429796218872,177,199,116.37250493974186
20,0,6,Hybrid,1,23.223217010498047,289,330,118.96103237990015
20,0,9,RRT*,1,17.319941997528076,488,498,150.25134294244504
20,0,9,Hybrid,1,12.57081413269043,296,310,135.6631325003715
20,1,0,GoalBias,1,6.040917873382568,194,187,136.29448734042845
20,1,0,RRT*,1,9.888143062591553,227,256,138.8529176355518
20,1,0,Hybrid,1,2.439852714538574,75,90,114.28029407371662
